ID,Date,Block,Primary Type,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,X Coordinate,Y Coordinate,Year,Latitude,Longitude
11674760,5/2/2019 12:02,032XX W ADAMS ST,BATTERY,"SCHOOL, PUBLIC, BUILDING",FALSE,TRUE,1124,11,28,27,1154752,1898890,2019,41.87837031,-87.70724814
11674761,5/3/2019 7:30,019XX S HARDING AVE,THEFT,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1014,10,24,29,1150365,1890163,2019,41.85450909,-87.72358396
11674762,5/2/2019 10:30,043XX W MAYPOLE AVE,BATTERY,APARTMENT,FALSE,TRUE,1114,11,28,26,1147445,1901102,2019,41.88458342,-87.73402135
11674763,5/3/2019 2:00,028XX N LARAMIE AVE,THEFT,VEHICLE NON-COMMERCIAL,FALSE,FALSE,2521,25,31,19,1141216,1918561,2019,41.93260999,-87.75646421
11674770,5/3/2019 10:05,032XX W NORTH AVE,THEFT,OTHER,FALSE,FALSE,1421,14,26,23,1154565,1910454,2019,41.91010677,-87.70762511
11674772,5/2/2019 19:30,0000X W CHICAGO AVE,THEFT,SIDEWALK,FALSE,FALSE,1832,18,2,8,1176117,1905725,2019,41.89667145,-87.62859492
11674774,5/3/2019 7:00,033XX W ADAMS ST,THEFT,RESIDENCE,FALSE,TRUE,1124,11,28,27,1154142,1898876,2019,41.87834408,-87.70948831
11674777,5/2/2019 18:50,037XX W 79TH ST,THEFT,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,833,8,18,70,1152190,1851958,2019,41.7496333,-87.71788946
11674778,5/3/2019 13:15,004XX S WABASH AVE,THEFT,RESTAURANT,FALSE,FALSE,113,1,42,32,1176871,1898411,2019,41.87658442,-87.62604705
11674784,5/3/2019 11:00,105XX S YATES AVE,BATTERY,RESIDENCE,FALSE,FALSE,434,4,7,51,1194208,1835625,2019,41.70388614,-87.56445418
11674785,4/30/2019 16:30,008XX S STATE ST,THEFT,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,123,1,4,32,1176487,1896508,2019,41.87137115,-87.62751442
11674787,2/23/2019 15:05,033XX S MICHIGAN AVE,BATTERY,NURSING HOME/RETIREMENT HOME,FALSE,FALSE,211,2,3,35,1177742,1882956,2019,41.83415513,-87.62331829
11674789,5/1/2019 0:00,038XX W POLK ST,BATTERY,APARTMENT,FALSE,FALSE,1133,11,24,26,1150851,1896090,2019,41.87076399,-87.72164512
11674795,5/2/2019 11:30,004XX W ROOT ST,THEFT,STREET,FALSE,FALSE,925,9,3,61,1174140,1877422,2019,41.81905029,-87.63669946
11674797,5/3/2019 12:00,018XX S CARPENTER ST,THEFT,STREET,FALSE,FALSE,1235,12,25,31,1169528,1891517,2019,41.85782963,-87.65320854
11674798,4/30/2019 18:00,008XX W LAKESIDE PL,THEFT,OTHER,FALSE,FALSE,1914,19,46,3,1169832,1931758,2019,41.96824654,-87.65091743
11674804,5/3/2019 11:08,033XX W 24TH ST,BATTERY,APARTMENT,FALSE,TRUE,1024,10,22,30,1154161,1887847,2019,41.8480789,-87.70971271
11674786,5/3/2019 10:30,002XX N CARPENTER ST,THEFT,STREET,TRUE,FALSE,1214,12,27,28,1169418,1901772,2019,41.88597252,-87.65331409
11871038,10/24/2019 14:00,001XX N STATE ST,THEFT,CTA TRAIN,FALSE,FALSE,111,1,42,32,1176345,1901114,2019,41.88401348,-87.62789676
11674806,5/3/2019 12:35,047XX N CUMBERLAND AVE,THEFT,GROCERY FOOD STORE,TRUE,FALSE,1614,16,38,76,1119318,1930490,2019,41.96572082,-87.83668484
11674807,5/3/2019 11:30,025XX S CENTRAL PARK AVE,BATTERY,RESIDENCE,TRUE,TRUE,1024,10,22,30,1152776,1886911,2019,41.84553789,-87.7148205
11674808,4/29/2019 14:00,075XX S SOUTH SHORE DR,BATTERY,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,421,4,7,43,1196150,1856116,2019,41.76006738,-87.55666601
11674816,5/3/2019 9:30,070XX S LOOMIS BLVD,BATTERY,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,734,7,6,67,1168212,1858148,2019,41.76629,-87.65900014
11674817,5/3/2019 7:44,060XX S NORMAL BLVD,BATTERY,APARTMENT,FALSE,TRUE,711,7,20,68,1173995,1864921,2019,41.78474951,-87.63760256
11674820,5/3/2019 1:00,119XX S AVENUE O,THEFT,STREET,FALSE,FALSE,433,4,10,55,1200960,1826449,2019,41.67853826,-87.54003963
11674821,5/3/2019 8:50,072XX S MORGAN ST,BATTERY,RESIDENCE,FALSE,TRUE,733,7,6,68,1170896,1856822,2019,41.76259313,-87.64920097
11674824,5/3/2019 11:58,064XX S KENWOOD AVE,BATTERY,APARTMENT,FALSE,TRUE,314,3,20,42,1186178,1862508,2019,41.77784884,-87.59301127
11674826,3/26/2019 21:00,079XX W ADDISON ST,THEFT,APARTMENT,FALSE,FALSE,1631,16,38,17,1122320,1922975,2019,41.94505046,-87.82581046
11674835,5/3/2019 13:30,025XX W FLOURNOY ST,THEFT,ALLEY,FALSE,FALSE,1135,11,28,28,1159592,1896950,2019,41.8729485,-87.6895301
11674837,5/3/2019 12:24,037XX W GRENSHAW ST,BATTERY,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1133,11,24,29,1151695,1894784,2019,41.86716363,-87.71858082
11870897,10/24/2019 12:30,002XX W ERIE ST,THEFT,RESTAURANT,FALSE,FALSE,1831,18,42,8,1174515,1904733,2019,41.89398531,-87.63450841
11674841,5/3/2019 1:25,070XX S WENTWORTH AVE,THEFT,SIDEWALK,FALSE,FALSE,731,7,6,69,1176175,1858397,2019,41.76679826,-87.62980549
11674842,5/1/2019 17:30,033XX S INDIANA AVE,THEFT,RESIDENCE,FALSE,FALSE,211,2,3,35,1178149,1882942,2019,41.83410747,-87.62182535
11674845,5/3/2019 9:00,053XX S DR MARTIN LUTHER KING JR DR,BATTERY,STREET,FALSE,FALSE,231,2,3,40,1179829,1869802,2019,41.7980119,-87.61606353
11674851,5/3/2019 6:30,036XX S DR MARTIN LUTHER KING JR DR,BATTERY,APARTMENT,FALSE,TRUE,212,2,4,35,1179454,1880996,2019,41.82873774,-87.61709657
11674853,5/2/2019 16:00,0000X E WALTON ST,THEFT,DEPARTMENT STORE,FALSE,FALSE,1833,18,42,8,1176820,1906935,2019,41.89997587,-87.62597631
11674854,5/3/2019 12:32,008XX N MICHIGAN AVE,THEFT,SMALL RETAIL STORE,TRUE,FALSE,1833,18,2,8,1177339,1906234,2019,41.89804054,-87.62409132
11674857,5/3/2019 11:42,008XX W 63RD ST,THEFT,SMALL RETAIL STORE,TRUE,FALSE,712,7,16,68,1171593,1863070,2019,41.77972315,-87.64646347
11674859,5/3/2019 12:20,077XX S BURNHAM AVE,BATTERY,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,421,4,7,43,1196066,1854156,2019,41.75469107,-87.55703869
11674860,5/3/2019 13:25,040XX W DIVERSEY AVE,BATTERY,SIDEWALK,FALSE,FALSE,2524,25,31,22,1148986,1918311,2019,41.93177695,-87.72791651
11674865,5/2/2019 3:58,002XX W 75TH ST,BATTERY,RESIDENCE,FALSE,FALSE,731,7,6,69,1175892,1855237,2019,41.75813321,-87.63093737
11674868,5/2/2019 10:00,076XX S HOMAN AVE,BATTERY,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,835,8,18,70,1155024,1853614,2019,41.75412154,-87.70746025
11674871,5/2/2019 15:15,046XX S KOLIN AVE,BATTERY,ALLEY,FALSE,FALSE,815,8,14,57,1148071,1873611,2019,41.80913252,-87.73242894
11674873,5/3/2019 13:50,020XX W NORTH AVE,THEFT,RESTAURANT,FALSE,FALSE,1424,14,1,24,1162278,1910637,2019,41.91045104,-87.67928549
11674874,5/3/2019 11:30,021XX S AVERS AVE,BATTERY,STREET,TRUE,FALSE,1014,10,24,29,1151064,1889545,2019,41.85279957,-87.72103449
11674875,5/3/2019 0:01,050XX W THOMAS ST,THEFT,STREET,FALSE,FALSE,1531,15,37,25,1142745,1906857,2019,41.9004646,-87.75113721
11674881,5/3/2019 13:00,096XX S MICHIGAN AVE,BATTERY,RESIDENCE,FALSE,TRUE,511,5,9,49,1178848,1841077,2019,41.71920972,-87.62053382
11674882,5/3/2019 12:25,001XX W WASHINGTON ST,THEFT,RESTAURANT,FALSE,FALSE,122,1,42,32,1174897,1900809,2019,41.88320909,-87.63322305
11674885,5/3/2019 12:30,061XX S SACRAMENTO AVE,THEFT,ALLEY,FALSE,FALSE,823,8,16,66,1157438,1863698,2019,41.78174502,-87.69834083
11674890,5/3/2019 11:30,022XX S DRAKE AVE,BATTERY,APARTMENT,FALSE,TRUE,1024,10,22,30,1153056,1888749,2019,41.85057604,-87.71374425
11674897,5/3/2019 12:00,022XX W OHIO ST,THEFT,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1221,12,26,24,1161357,1903968,2019,41.89217,-87.68285465
11873056,10/24/2019 14:00,019XX N WILMOT AVE,THEFT,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1434,14,32,22,1160440,1912974,2019,41.9169022,-87.6859728
11674910,5/1/2019 18:00,001XX N STATE ST,THEFT,DEPARTMENT STORE,FALSE,FALSE,111,1,42,32,1176338,1901346,2019,41.88465026,-87.62791546
11674913,5/3/2019 14:30,042XX S COTTAGE GROVE AVE,THEFT,MEDICAL/DENTAL OFFICE,FALSE,FALSE,214,2,4,36,1182317,1876886,2019,41.81739363,-87.60672007
11674914,3/26/2019 14:00,011XX E HYDE PARK BLVD,THEFT,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,222,2,4,39,1184613,1871422,2019,41.80234643,-87.5984692
11674915,4/30/2019 23:40,026XX N KIMBALL AVE,THEFT,RESIDENCE,FALSE,FALSE,1412,14,35,22,1153265,1917334,2019,41.929012,-87.71221776
11674918,5/2/2019 16:00,066XX N ROCKWELL ST,BATTERY,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,2412,24,50,2,1157787,1943931,2019,42.00190452,-87.6948725
11674925,5/3/2019 13:45,080XX S JUSTINE ST,BATTERY,APARTMENT,TRUE,TRUE,612,6,21,71,1167402,1851451,2019,41.74792991,-87.6621606
11674938,5/3/2019 12:00,081XX S HALSTED ST,THEFT,STREET,FALSE,FALSE,613,6,21,71,1172383,1850979,2019,41.74652661,-87.64392251
11674940,5/1/2019 12:00,079XX S DR MARTIN LUTHER KING JR DR,THEFT,RESTAURANT,FALSE,FALSE,623,6,6,44,1180275,1852549,2019,41.75065771,-87.61495649
11674945,5/3/2019 13:20,045XX S CALIFORNIA AVE,BATTERY,RESIDENCE,FALSE,TRUE,922,9,15,58,1158464,1874390,2019,41.81106446,-87.69428782
11674950,4/30/2019 22:00,028XX W DIVISION ST,BATTERY,RESIDENCE-GARAGE,FALSE,FALSE,1211,12,26,24,1157038,1907850,2019,41.90291131,-87.69861105
11674955,5/3/2019 15:30,016XX E 95TH ST,THEFT,GROCERY FOOD STORE,TRUE,FALSE,431,4,7,51,1188861,1842311,2019,41.7223626,-87.58382047
11674960,5/3/2019 14:37,025XX N MANGO AVE,BATTERY,RESIDENCE,TRUE,TRUE,2515,25,30,19,1137621,1916345,2019,41.92659466,-87.76972918
11674961,5/3/2019 13:00,047XX W HARRISON ST,BATTERY,STREET,FALSE,FALSE,1131,11,24,25,1144981,1896934,2019,41.87319279,-87.74317485
11674964,5/3/2019 14:40,078XX S HALSTED ST,THEFT,SMALL RETAIL STORE,FALSE,FALSE,621,6,17,71,1172330,1852778,2019,41.75146446,-87.6440639
11674965,5/3/2019 15:15,070XX S CORNELL AVE,THEFT,STREET,FALSE,FALSE,332,3,5,43,1188565,1858758,2019,41.76750181,-87.58438032
11674967,5/3/2019 15:30,034XX N SOUTHPORT AVE,THEFT,SMALL RETAIL STORE,FALSE,FALSE,1924,19,44,6,1166355,1923128,2019,41.94464075,-87.66394995
11674969,4/29/2019 0:01,033XX S CALUMET AVE,THEFT,STREET,FALSE,FALSE,211,2,4,35,1179143,1882878,2019,41.8339092,-87.61818012
11674977,5/3/2019 13:45,019XX W BERTEAU AVE,THEFT,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,1912,19,47,5,1162517,1927901,2019,41.95781949,-87.67792265
11674978,5/3/2019 14:40,028XX W 86TH PL,BATTERY,RESIDENCE,FALSE,TRUE,835,8,18,70,1159098,1847118,2019,41.73621318,-87.69270748
11870543,10/24/2019 3:43,045XX N SHERIDAN RD,BATTERY,APARTMENT,TRUE,TRUE,1914,19,46,3,1168791,1930493,2019,41.96479803,-87.65478194
11674988,5/3/2019 13:35,049XX W FULLERTON AVE,THEFT,GAS STATION,FALSE,FALSE,2521,25,31,19,1143166,1915509,2019,41.92419877,-87.74937447
11674990,5/2/2019 21:40,006XX N WABASH AVE,BATTERY,RESTAURANT,FALSE,FALSE,1834,18,42,8,1176631,1904365,2019,41.89292794,-87.62674825
11674995,5/3/2019 15:24,020XX W ROSCOE ST,THEFT,SMALL RETAIL STORE,FALSE,FALSE,1921,19,32,5,1161973,1922568,2019,41.94319685,-87.68007201
11674996,4/30/2019 0:01,063XX N BROADWAY,THEFT,ANIMAL HOSPITAL,FALSE,FALSE,2433,24,48,77,1167153,1942220,2019,41.99701269,-87.6604657
11674997,5/3/2019 15:45,017XX S RACINE AVE,THEFT,OTHER,FALSE,FALSE,1233,12,25,31,1168644,1891759,2019,41.85851286,-87.65644633
11674998,5/3/2019 6:00,046XX S MICHIGAN AVE,BATTERY,RESIDENCE,FALSE,FALSE,215,2,3,38,1177938,1874249,2019,41.81025796,-87.6228633
11675006,5/3/2019 15:06,007XX E 60TH ST,BATTERY,APARTMENT,FALSE,TRUE,313,3,20,42,1182179,1865389,2019,41.78584811,-87.60758238
11675011,5/3/2019 15:10,008XX N MICHIGAN AVE,THEFT,DEPARTMENT STORE,TRUE,FALSE,1833,18,2,8,1177338,1906181,2019,41.89789513,-87.62409661
11675013,4/23/2019 12:00,114XX S PULASKI RD,THEFT,VEHICLE NON-COMMERCIAL,FALSE,FALSE,2211,22,19,74,1151750,1828526,2019,41.68534015,-87.7201134
11675014,5/3/2019 11:40,052XX N LAKE SHORE DR NB,THEFT,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,2024,20,48,3,1170060,1934616,2019,41.97608398,-87.64999527
